;2018;;;2019;;2020;;;Total general
;SEXO;;;;;;;;
MUNICIPIO  EDAD;Hombre;Mujer;Indete.;Hombre;Mujer;Hombre;Mujer;Indete.;
AGUADAS;;;;;;;;;
97;1;1;;3;2;1;1;;9
98;1;2;;;1;1;;;5
99;1;;;1;1;;1;;4
FILADELFIA;;;;;;;;;
13;;;;;1;;;;1
16;;1;;;;;;;1
21;1;;;;;;;;1
22;;;;;;1;;;1
35;;;;1;;;;;1
36;;;;;1;;;;1
41;1;;;;;;;;1
44;;1;;;;;;;1
47;;;;1;;;;;1
49;;;;;;;1;;1
52;;;;;;1;1;;2
53;;;;;;2;;;2
56;;;;;1;;;;1
57;;;;;;;1;;1
60;;;;;;1;;;1
62;;;;2;1;1;1;;5
63;1;;;;;;;;1
65;;1;;;;1;;;2
66;2;;;;1;;;;3
67;;1;;;;;1;;2
68;1;;;;;;1;;2
69;;1;;;;1;;;2
70;;;;;;1;;;1
71;2;1;;;;;;;3
72;;;;;1;1;;;2
73;1;;;2;;;;;3
75;;;;;1;;1;;2
76;1;;;3;;;2;;6
77;;1;;;;1;;;2
78;;1;;1;1;;;;3
79;;2;;2;1;;;;5
80;;1;;;;1;1;;3
81;;;;3;;;;;3
82;1;1;;;1;;;;3
83;1;;;2;;1;2;;6
84;;;;2;;;1;;3
85;;;;;1;1;1;;3
86;4;2;;1;2;;1;;10
87;;;;;;1;;;1
88;;;;;;;1;;1
89;1;;;;;1;;;2
90;;1;;;;;;;1
91;2;1;;;;;;;3
92;2;;;1;;;;;3
93;;1;;;1;;1;;3
94;1;;;;2;1;;;4
95;;;;;;1;1;;2
97;;;;;;;2;;2
99;;;;;;;1;;1
LA DORADA;;;;;;;;;
< 1año;;1;;;;;2;;3
0;;1;;1;1;;;;3
1;;2;;;1;1;1;;5
2;;;;2;;1;1;;4
3;;;;;2;;;;2
4;;;;1;1;;1;;3
6;;;;;1;;;;1
7;1;;;;;;;;1
12;;;;;;1;;;1
14;;;;1;;;;;1
15;;;;;1;;1;;2
16;;;;1;;1;;;2
17;;1;;1;;1;1;;4
18;2;;;;;2;;;4
19;1;;;;;2;;;3
20;;;;3;1;;;;4
21;1;;;2;;1;;;4
22;1;1;;;;1;1;;4
23;1;;;2;;1;;;4
24;;;;1;;;;;1
25;;;;;1;1;;;2
26;3;1;;3;;;;;7
28;2;1;;2;;1;1;;7
29;2;;;;;2;3;;7
30;;;;3;;4;1;;8
31;2;1;;1;;2;;;6
32;1;;;4;1;1;;;7
33;1;;;;;;;;1
34;2;;;1;;;;;3
35;2;;;;;3;;;5
36;1;;;1;;1;1;;4
37;1;;;;;;1;;2
38;1;;;;;1;;;2
39;1;;;;1;;1;;3
40;3;;;1;;1;1;;6
41;1;;;1;;;3;;5
42;3;;;1;;1;;;5
43;2;1;;1;1;2;;;7
44;;2;;1;;1;1;;5
45;2;;;;;1;2;;5
46;;;;1;;;1;;2
47;2;;;1;1;1;1;;6
48;1;;;;;;;;1
49;1;1;;;;1;;;3
50;2;;;4;;1;;;7
51;5;1;;1;1;1;;;9
52;2;2;;1;2;2;1;;10
53;4;2;;2;3;1;3;;15
54;1;;;1;;4;3;;9
55;6;;;1;;4;1;;12
56;4;1;;1;2;5;4;;17
57;;2;;2;4;3;3;;14
58;4;;;;3;3;2;;12
59;5;1;;;3;9;1;;19
60;3;6;;4;2;5;4;;24
61;4;2;;2;1;5;2;;16
62;1;2;;4;1;3;1;;12
63;2;2;;4;2;8;3;;21
64;4;4;;4;1;5;6;;24
65;4;2;;4;;2;3;;15
66;;4;;2;;4;4;;14
67;1;2;;2;2;9;9;;25
68;3;3;;1;6;1;1;;15
69;2;3;;1;2;10;7;;25
70;8;7;;;3;10;5;;33
71;11;3;;6;4;6;5;;35
72;4;3;;5;3;9;6;;30
73;4;10;;2;1;14;4;;35
74;4;1;;4;1;9;3;;22
75;2;3;;2;6;14;5;;32
76;10;2;;6;4;4;3;;29
77;6;3;;2;5;8;6;;30
78;6;2;;2;5;4;1;;20
79;4;2;;6;1;8;3;;24
80;4;6;;7;6;6;8;;37
81;4;8;;4;6;13;8;;43
82;8;4;;6;8;11;5;;42
83;5;13;;5;3;9;6;;41
84;8;5;;4;4;9;3;;33
85;4;9;;7;4;13;5;;42
86;5;6;;1;7;10;4;;33
87;6;6;;6;3;3;9;;33
88;5;4;;4;3;3;7;;26
89;5;3;;5;2;5;7;;27
90;3;3;;7;7;3;7;;30
91;6;2;;3;7;6;4;;28
92;4;1;;3;3;2;3;;16
93;4;1;;2;4;1;4;;16
94;;3;;1;1;1;1;;7
95;;3;;1;;5;3;;12
96;;1;;2;2;;2;;7
97;2;;;2;5;;1;;10
98;2;1;;2;;;;;5
99;3;1;;;;2;;;6
LA MERCED;;;;;;;;;
3;;1;;;;;;;1
17;;;;1;;;;;1
32;;;;;;1;;;1
38;;;;1;;;;;1
